"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"232";"482734";"YES";"Furukawa";2014;"Japan";"Acta Psychiatrica Scandinavica";"Waiting list may be a nocebo condition in
psychotherapy trials: a contribution from
network meta-analysis";49;"4";4;"Unclear";"3 (non-pharmacological vs any)";"No";"No";"NA";"response to treatment";"the number of patients who responded to depression treatment";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"Hamilton Rating Scale for Depression (HAMD), Beck Depression Inventory (BDI)
 or any other validated depression scale at the
end of the acute phase treatment.";"Bayesian Hierarchical Model";"Arm";"47";"2";"0";"0";"0";"Full Network";"2";"Bucher method; Comparison of model fit and parsimony";"Yes";"Yes";"The baseline characteristics of included studies were similarly distributed across the comparisons";"Random effects";"Given the potentialMclinical heterogeneity of the populations studied as well as the CBT approaches used in the studies, we used the random-effects model in all analyses.";"Unclear";"Not reported";"NA";"Yes";"Yes";"Funnel plot; Egger's test";"NR";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"233";"482745";"YES";"Leaviss";2014;"UK";"Health Technology Assessment";"What is the clinical effectiveness and
cost-effectiveness of cytisine compared with
varenicline for smoking cessation? A systematic
review and economic evaluation";16;"8";8;"Placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split dose";"Continuous abstinence at a minimum follow-up of 6 months.";"the study’s strictest reported
definition of abstinence, at a minimum of 6 months’ follow-up,";"Effectiveness";"Beneficial";"Survival";"Semi-objective";"hazard ratio";"Use of a range of outcome measurements to evaluate abstinence in different studies; The Russell Standard";"Bayesian Hierarchical Model";"Arm";"11";"4";"1";"1";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"To allow for heterogeneity between studies";"comparison-specific";"weak prior distribution";"NA";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"the National Institute for Health Research (NIHR) Health Technology
Assessment programme";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"235";"482760";"YES";"Naudet";2013;"France";"BMC Medicine";"Which placebo to cure depression? A thought-provoking network meta-analysis";29;"5";5;"Unclear";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"response to treatment";"the proportion of patients who had a reduction of at least 50% from the baseline score on the Hamilton Depression
Rating Scale (HDRS) or the Montgomery-Åsberg Depression Rating Scale (MADRS)";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"Not reported";"Unclear";"Study";"25";"4";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Both FE and RE";"final models were selected by comparing a model fit criterion AIC";"Unclear";"Not reported";"NA";"Unclear";"Yes";"Funnel plot; Egger's test";"NR";"All";"No";"No";"NA";"Institut National de la Santé et de la Recherche Médicale (INSERM).";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"237";"501192";"YES";"Abdullah";2008;"USA";"Ann Allergy Asthma Immunol.";"Relative oral corticosteroid–sparing effect of 7 inhaled corticosteroids in chronic asthma: a meta-analysis";18;"16";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy";"OCS Elimination in chronic asthma";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"rate of Complete Elimination of Oral Corticosteroid";"Adjusted indirect comparison (Bucher)";"Arm";"18";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"Yes";"Fail-safe number (Nfs); Tolerance level";"NA";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"238";"501194";"YES";"V. S. Akshintala";2013;"USA";"Alimentary Pharmacology and Therapeutics";"Systematic review with network meta-analysis: pharmacological prophylaxis against post-ERCP pancreatitis";99;"NR";17;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Efficacy of pharmacological agents for the prevention of post-ERCP pancreatitis";"incidence of  post-ERCP pancreatitis (PEP)";"Effectiveness";"Harmful";"Binary";"semi-objective";"odds ratio";"incidences of post-ERCP pancreatitis";"Bayesian Hierarchical Model";"Arm";"91";"8";"0";"0";"0";"Full Network";"Unclear";"Design by treatment";"Yes";"Yes";"None";"Random effects";"No";"NR";"Heterogeneity was quantified by including a random intercept for study within the Bayesian NMA model.";"NA";"Yes";"No";"NA";"Probability of being the best (rankograms)";"All";"No";"No";"None";"None";"Non-sponsored";"0.59";"0.56000000000000005";"0.82";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"239";"501195";"YES";"Anothaisintawee";2011;"Thailand";"JAMA";"Management of Chronic Prostatitis/Chronic Pelvic Pain Syndrome A Systematic Review and Network Meta-analysis.";11;"NR";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"pain score in chronic prostatitis";"pain and voiding questionnaires";"Effectiveness";"Harmful";"Continuous";"Subjective";"standardized mean difference";"The following
tools were used in these assessments: (1)
The National Institutes of Health Chronic
Prostatitis Symptom Index (NIH-CPSI)
consists of 3 domains (ie, pain, voiding,
and quality of life). The total scores range
from 0 to 43.18 (2) The International
Prostate Symptom Score (IPSS) questionnaire19
consists of 3 domains (ie,pain, voiding, and quality of life), with
combined scores ranging from 0 to 51.
(3) The Prostatitis Symptom Score Index
(PSSI) measures only pain scores,
with a total score of 0 to 12. (4) Other
pain and voiding questionnaires20 consist
of 7 and 5 items, respectively, with
each item graded as 0 to 3.";"Meta regression";"Arm";"10";"1";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"NR";"Both FE and RE";"If there was evidence of heterogeneity, a random-effects model was used for pooling. Otherwise, a fixed-effects model was applied";"Unclear";"NA";"NR";"Yes";"Yes";"Funnel plot; Egger's test";"NA";"All";"No";"No";"NA";"the National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, the Canada Institute for Health Research, and the Canada Research Chair Program.";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"240";"501196";"YES";"Ara";2012;"UK";"HTA";"What is the clinical effectiveness and cost-effectiveness of using drugs in treating obese patients in primary care? A systematic review";26;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"clinical effectiveness  of three pharmacological interventions in obese patients";"Weight change from baseline (kg) in 3 months";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"mean change in weight from baseline";"Bayesian Hierarchical Model";"Arm";"22";"3";"1";"0";"0";"Full Network";"8";"Informal comparison of NMA results with pairwise meta-analysis results";"NA";"Yes";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Unclear";"Yes";"contour enhanced funnel plots";"Probability of being the best";"All";"No";"Yes";"Where possible, data from intention-to-treat analyses were extracted.; Where data were incomplete the corresponding author of the study was contacted.";"National Institute for Health Research Health Technology Assessment programme";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"241";"501197";"YES";"Ara";2009;"UK";"HTA";"Early high-dose lipid-lowering therapy to avoid cardiac events: a systematic review and economic evaluation.";11;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"Adverse event (treatment related) leading to drug Discontinuation, no. of patients";"Adverse event
(treatment related)
leading to drug
discontinuation,";"Safety";"Harmful";"Binary";"Objective";"risk ratio";"NR";"Bayesian Hierarchical Model";"Arm";"10";"0";"1";"0";"0";"Full Network";"5";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"HTA programme";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"243";"501199";"YES";"Abdullah Assiri";2013;"USA/Saudi Arabia";"Clinical Therapeutics";"Mixed Treatment Comparison Meta-Analysis of Aspirin,Warfarin, and New Anticoagulants for Stroke Prevention in Patients With Nonvalvular Atrial Fibrillation";17;"NR";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Yes";"Compare available antiplatelet agents, warfarin and new anticoagulants in patients with atrial fibrillation (AF)";"All Stroke";"Safety";"Harmful";"Rate";"Objective";"Rate Ratio";"number of strokes";"Bayesian Hierarchical Model";"Arm";"15";"2";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"patient characteristics of the included trial populations are similar";"Random effects";"No";"Connected treatment networks were evaluated to identify heterogeneity and consistency within closed loop evidence structures. MTC methods were used to preserve the benefit ofwithin-trial randomization and to allow combinations of direct and indirect evidence under the premise of comparable patient characteristics between studies and similar heterogeneity between individual studies in the comparison.";"NR";"NA";"Unclear";"No";"NA";"NR";"All";"No";"No";"Not mentioned";"Not mentioned";"Funding source not reported";"no data available";"no data available";"no data available";NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"244";"501200";"YES";"Baker";2012;"USA";"Dermatol Ther";"Effect of Biologic Agents on Non-PASI Outcomes in Moderate-to-Severe Plaque Psoriasis: Systematic Review and Meta-Analyses";15;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"impact of biologics on health outcomes";"physician’s global assessment (PGA) - clearing of psoriatic plaques from the skin, with higher scores denoting more severe disease";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"There is no standard PGA, and different
versions include six- or seven-point scales,
which measure the severity of psoriasis. Terms
such as ‘‘clear’’ or ‘‘excellent’’ (scores of 0 or 1)
are used to define the clearing of psoriatic
plaques from the skin, with higher scores
denoting more severe disease.";"Bayesian Hierarchical Model";"Study";"31";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"Yes";"Funnel plot; Egger's test";"NA";"All";"No";"No";"NA";"Pfizer Inc.";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"245";"501201";"YES";"Baker";2009;"USA";"Pharmacotherapy";"Pharmacologic treatments for chronic obstructive pulmonary disease: a mixed-treatment comparison meta-analysis.";38;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"exacerbation episodes in Chronic Obstructive Pulmonary Disease (COPD>=1)";"episodes in Chronic Obstructive Pulmonary Disease (COPD>=1)";"Effectiveness";"Harmful";"Binary";"Subjective";"odds ratio";"more than one episode of COPD exacerbation";"Bayesian Hierarchical Model";"Arm";"29";"3";"6";"0";"0";"Full Network";"12";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"No";"NA";"NA";"All";"No";"Yes";"previous articles were reviewed to supplement missing data where applicable";"NA";"Funding source not reported";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"247";"501204";"YES";"Bally";2012;"Canada";"International  Journal  of  Antimicrobial  Agents";"A network meta-analysis of antibiotics for treatment of hospitalised patients with suspected or proven meticillin-resistant Staphylococcus aureus infection";24;"7";7;"control / vancomycin";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"efficacy";"clinical success at test of cure in the modified intention-to-treat population (MITT)";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"clinical success at test of cure in the following intention-totreat
(ITT) populations: the modified ITT (MITT) population; and the
MITT population with MRSA at baseline (MRSA m-MITT).";"Bayesian Hierarchical Model";"Arm";"24";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"The trials were also fairly homogeneous with respect to
patient demographics and duration of antibiotic treatment";"Fixed-effect";"we described the covariate–treatment interaction by a common distribution (fixed effect). By doing so we are assuming that diabetes or the presence of VAP will modify treatment effect in a similar fashion across all antibiotics. Although few details were available to confirm how the definition of VAP varied between studies, we believe this assumption is reasonable from a clinical standpoint.";"NA";"prior distributions for the between-study standard deviation of the ORs";"NR";"NA";"Yes";"Funnel plot; search of clinical trial registries";"Probability of being the best";"Subset";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"249";"501206";"YES";"Bangalore";2010;"USA";"Lancet";"Antihypertensive drugs and risk of cancer: network meta-analyses and trial sequential analyses of 324,168 participants from randomised trials.";49;"NR";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"association between antihypertensive drugs and cancer risk";"cancer risk";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"cancer risk and cancerrelated
mortality.";"Bayesian Hierarchical Model";"Arm";"45";"4";"1";"0";"0";"Full Network";"18";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Both FE and RE";"sensitivity analysis";"Unclear";"vague prior";"NR";"Yes";"Yes";"Funnel plot; Begg's test; Egger's test";"Probability of being the best";"All";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"250";"501207";"YES";"Bansback";2009;"Canada";"Dermatology";"Efficacy of systemic treatments for moderate to severe plaque psoriasis: systematic review and meta-analysis.";22;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"efficacy";"PASI 75 response score for the treatment of psoriasis";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"PASI score is a measure of body surface area involvement (on a scale from 0 to 6 for the
lower extremities, the trunk, the upper extremities, and the head
and neck) and psoriasis severity (on a scale from 0 to 4 for each of
3 parameters: erythema/redness, scaling and thickness) [9]. PASI
50, PASI 75 and PASI 90 responses are defined as a ~50%, ;?!75%
and ~90% reduction from baseline PASI, respectively.";"Bayesian Hierarchical Model";"Arm";"21";"1";"0";"0";"0";"Full Network";"2";"NR";"Unclear";"Unclear";"NR";"Random effects";"random effect models (rather than fixed effect models) were used throughout explicitly to take account of between-study heterogeneity.";"Unclear";"NR";"NR";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"No";"NA";"Abbott Laboratories";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"252";"501209";"YES";"Lori";2012;"USA";"Cardiovasc Drugs Ther";"Systematic Review and Meta-analysis of the Efficacy of Cardioversion by Vernakalant and Comparators in Patients with Atrial Fibrillation";20;"22";11;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"relative efficacy of existing cardioversion approaches";"cardioversion within 2 h of treatment initiation (rapid cardioversion) among patients with short-duration AF";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"NR";"Bayesian Hierarchical Model";"Arm";"16";"6";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Both FE and RE";"Results are presented from the random-effect models (after confirming similar results between the two), the more conservative approach, only";"Unclear";"NR";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"United BioSource Inc., received funding support by Merck and Company, Inc";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"254";"501211";"YES";"Berner";2006;"Germany";"Int J Impotence Research";"Effectiveness of PDE-5-inhibitors for erectile dysfunction. A comparative meta-analysis of fixed-dose regimen randomized controlled trials administeringthe International Index of Erectile Function in broad-spectrum populations.";14;"NR";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"Unclear";"efficacy of PDE-5-inhibitors for erectile dysfunction";"IIEF score";"Effectiveness";"Beneficial";"Continuous";"Subjective";"mean difference";"Erectile dysfunction domain of the  IIEF score";"Adjusted indirect comparison (Bucher)";"Study";"14";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Fixed-effect";"As the stringent inclusion criteria probably led to reduced clinical heterogeneity, we also assumed a low statistical heterogeneity in primary study findings.
We, therefore, used a fixed-effect model for pooling the data.";"NA";"NR";"NR";"NA";"Yes";"Funnel plot";"NA";"Subset";"No";"No";"NA";"NA";"Non-sponsored";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"255";"501212";"YES";"G. Biondi-Zoccai";2013;"Italy";"HSR proceedings in intensive care and cardiovascular anesthesia";"Comparative effectiveness of novel oral anticoagulants for atrial fibrillation: evidence from pair-wise and warfarin-controlled network meta-analyses.";6;"13";5;"Warfarin";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split doses";"Comparative effectiveness of novel oral anticoagulants for atrial fibrillation";"long term stroke/systemic embolism";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"number of events of long term stroke/systematic embolism";"Bayesian Hierarchical Model";"Arm";"6";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"enrolment criteria were sufficiently homogeneous (i.e. all studies included patients in whom warfarin was considered beneficial) to ensure that the key assumption of network meta-analysis (namely the focus on a common patient
subset treated with the same comparator) hold true";"Both FE and RE";"Deviance and deviance information criterion (DIC) were used to appraise model fit in comparison to a random-effect model";"Unclear";"NR";"NA";"Unclear";"Yes";"Funnel plot";"NA";"All";"No";"No";"Incomplete outcome
data addressed in some trials";"None";"Non-sponsored";"no data available";"no data available";"no data available";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"256";"501213";"YES";"Blanchard";2011;"France";"JCE";"Mixed treatment comparison meta-analysis of altered fractionated radiotherapy and chemotherapy in head and neck cancer";119;"6";6;"locoregional treatment";"3 (non-pharmacological vs any)";"No";"No";"NA";"Different treatments have been investigated in head and neck cancers (HNCs)";"overall survival";"Effectiveness";"Harmful";"Survival";"Objective";"hazard ratio";"mortality";"Bayesian Hierarchical Model";"Arm";"119";"0";"0";"0";"0";"Full Network";"4";"Loop-specific";"Yes";"Yes";"NR";"Both FE and RE";"model fit";"Unclear";"flat priors";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"Association pour la Recherche sur le Cancer, Ligue Nationale Contre le
Cancer, Programme Hospitalier de Recherche Clinique (no. IDF 95009 and 98083), and Sanofi-Aventis";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"257";"501214";"YES";"Bodalia";2013;"UK";"British Journal of Clinical Pharmacology";"Comparative Efficacy and Tolerability of Antiepileptic Drugs for Refractory Focal Epilepsy";41;"21";11;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Efficacy of antiepileptic drugs";"response rate";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"50% reduction in seizure rate from baseline";"Bayesian Hierarchical Model";"Arm";"40";"1";"0";"0";"0";"Full Network";"Unclear";"Bucher method";"Yes";"Yes";"None";"Random effects";"The model included random effects at the level of trials which allowed the estimation of the variance of treatment effects between trials";"Unclear";"NR";"NA";"Yes";"Yes";"Funnel plot; L' Abbe plot";"Probability of being the best";"All";"No";"No";"None";"None";"Non-sponsored";"0.52";"0.08";"0.56000000000000005";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"258";"501215";"YES";"Bottomley";2011;"UK";"CMRO";"The effectiveness of two-compound formulation calcipotriol and betamethasone dipropionate gel in the treatment of moderately severe scalp psoriasis: a systematic review of direct and indirect evidence.";10;"NR";7;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"No";"efficacy of topical therapies for scalp psoriasis in adults";"IGA response after 4 weeks";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"percentage of IGA responder/non-responder";"Meta regression; Bucher method";"Arm";"8";"1";"1";"0";"0";"Full Network";"4";"Loop-specific";"Yes";"Yes";"similar patients were evaluated in studies";"Unclear";"No";"Unclear";"NA";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"LEO Pharma A/S";"Industry-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"259";"501216";"YES";"Sarah R. Braun";2013;"Austria";"Plos one";"Comparing bona fide psychotherapies of depression in adults with two meta-analytical approaches";45;"19";19;"Cognitive behavioural therapy";"3 (non-pharmacological vs any)";"Yes";"Unclear";"NA";"Efficacy in terms bona fide phychotherapies of depression";"bona fide phychotherapies of depression in patient's self ratings";"Effectiveness";"Beneficial";"Continuous";"Subjective";"standardized mean difference";"mean difference in patient's self-ratings";"Bayesian Hierarchical Model";"Study";"38";"7";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"NA";"Yes";"Trials must be comparable in terms of patient samples, outcome measures and other relevant characteristics. To account for similarity, study sample was restricted to studies in which therapies focused on the treatment of depressive disorders and only adult patient samples were included";"Random effects";"No";"NR";"NR";"NA";"Yes";"Yes";"Funnel plot; Trim and fill method";"Probability of being the best";"Subset";"No";"No";"Not mentioned";"None";"Non-sponsored";"0.27";"0.63";"0.73";NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"260";"501217";"YES";"Brown";2006;"UK";"HTA";"A comparison of the cost-effectiveness of five strategies for the prevention of non-steroidal anti-inflammatory drug-induced gastrointestinal toxicity: a systematic review with economic modelling.";38;"6";6;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"effectiveness for the prevention of NSAID induced GI toxicity";"serious GI complications";"Safety";"Harmful";"Binary";"Semi-objective";"risk ratio";"defined as a GI perforation, bleed (including melaena) or obstruction.";"Adjusted indirect comparison (Bucher)";"Arm";"36";"2";"0";"0";"0";"Full Network";"6";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot; Begg's test; Egger's test";"NA";"Subset";"No";"No";"NA";"the HTA Programme";"Publicly-sponsored";NA;NA;NA;"Unclear";"long";0;1;"After removing comparisons with missing treatment effects or standard errors,\n  study '4' has a wrong number of comparisons. Please check data and\n  consider to remove study from network meta-analysis.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"261";"501219";"YES";"Buscemi";2007;"Canada";"Society of General Internal Medicine";"The Efficacy and Safety of Drug Treatments for Chronic Insomnia in Adults: A Meta-analysis of RCTs";54;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"efficacy of treatments for chronic insomnia in adults";"sleep onset latency - sleep diary";"Effectiveness";"Harmful";"Continuous";"Subjective";"mean difference";"(amount of
time between lying down to sleep and the onset of sleep);";"Adjusted indirect comparison (Bucher)";"Study";"46";"8";"0";"0";"0";"Full Network";"2";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"Yes";"Funnel plot; Begg's test; Egger's test; Trim and fill method";"NA";"All";"No";"No";"NA";"Agency for Healthcare Research and Quality";"Publicly-sponsored";NA;NA;NA;"Unclear";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"262";"501220";"YES";"Jacopo Buti";2013;"Italy";"Journal of Clinical Periodontology";"Bayesian network meta-analysis of root coverage procedures: ranking efficacy and identification of best treatment.";26;"7";7;"coronally advanced flap";"1 (pharmacological vs pharmacological)";"No";"Unclear";"NA";"Efficacy for coronally advanced flap (CAF)";"Recession Reduction";"Effectiveness";"Beneficial";"Continuous";"semi-objective";"mean difference";"change in gingival recession expressed as RecRed (mm) at follow-up visit";"Bayesian Hierarchical Model";"Study";"26";"0";"0";"0";"0";"Full Network";"2";"Lumley model; Lu and Ades";"Yes";"Yes";"Not mentioned";"Both FE and RE";"in cases with only two studies fixed-effects model was preferred due to the little information on the heterogeneity variance";"Unclear";"Inverse Gamma distributions IG(10  3; 10  3) for τ2 and τ2w";"NA";"Yes";"No";"NA";"Probability of being the best; Posterior median rank";"All";"No";"No";"In case of missing data or lack of answer by the authors after two contact attempts, RCTs were considered not eligible for inclusion";"Not mentioned";"Non-sponsored";"0.65";"0.49";"0.82";NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"264";"501223";"YES";"Carroll C";2013;"UK";"Health Technology Assessment";"Clinical effectiveness and cost-effectiveness of minimally invasive techniques to manage varicose veins: a systematic review and economic evaluation";23;"4";4;"Stripping";"3 (non-pharmacological vs any)";"Yes";"Unclear";"NA";"Efficacy of minimally invasive to manage varicose veins";"recurrence of varicose veins";"Effectiveness";"Harmful";"Survival";"Objective";"hazard ratio";"Venous Clinical Severity Score (VCSS)";"Meta regression";"Arm";"17";"0";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"to allow for heterogeneity in treatment effects across studies";"Unclear";"uniform prior";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"None";"National Institute for Health Research (NIHR)";"Publicly-sponsored";"no";"no";"no";NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
